ko	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24
K01626	453.0	495.0	215.0	538.0	537.0	281.0	449.0	690.0	752.0	555.0	778.0	163.0	659.0	103.0	381.0	692.0	727.0	671.0	733.0	299.0	65.0	116.0	397.0	594.0	671.0
K01633	10.0	19.0	3.0	2.0	9.0	9.0	18.0		4.0	9.0	3.0	1.0		3.0	1.0	2.0	2.0	1.0		3.0	2.0	1.0		7.0	1.0
K01640	7.0	4.0	16.0	33.0	10.0	8.0		51.0	30.0	9.0	29.0	9.0	27.0	5.0	23.0	13.0	46.0	33.0	15.0	12.0	3.0	12.0	20.0	25.0	18.0
K01653	918.0	1153.0	559.0	676.0	1082.0	820.0	1113.0	605.0	762.0	912.0	1046.0	626.0	804.0	588.0	600.0	1720.0	572.0	813.0	1019.0	746.0	633.0	608.0	712.0	861.0	879.0
K01673	1484.0	1765.0	247.0	681.0	1720.0	565.0	1959.0	797.0	1037.0	1593.0	988.0	337.0	809.0	154.0	595.0	513.0	903.0	1135.0	723.0	347.0	15.0	135.0	681.0	1174.0	1013.0
K01689	801.0	979.0	419.0	528.0	914.0	572.0	1024.0	570.0	715.0	802.0	808.0	409.0	697.0	380.0	498.0	1087.0	510.0	736.0	868.0	549.0	421.0	387.0	602.0	730.0	780.0
K01695	248.0	289.0	151.0	139.0	250.0	223.0	312.0	158.0	174.0	234.0	258.0	163.0	188.0	154.0	163.0	380.0	129.0	206.0	266.0	180.0	166.0	168.0	187.0	206.0	214.0
K01698	221.0	265.0	121.0	130.0	223.0	151.0	265.0	130.0	172.0	197.0	183.0	107.0	151.0	119.0	121.0	238.0	121.0	178.0	219.0	141.0	102.0	94.0	144.0	165.0	178.0
K01704	31.0	41.0	12.0	18.0	48.0	10.0	54.0	20.0	32.0	51.0	18.0	7.0	10.0	1.0	10.0	11.0	14.0	24.0	14.0	10.0	1.0	2.0	22.0	16.0	19.0
K01716	39.0	52.0	15.0	28.0	65.0	22.0	64.0	29.0	53.0	57.0	34.0	17.0	35.0	7.0	14.0	36.0	30.0	49.0	33.0	14.0	2.0	9.0	19.0	39.0	53.0
K01719	10.0	2.0	16.0	5.0	4.0	13.0	8.0	11.0	1.0	9.0	4.0	24.0	3.0	20.0	15.0	5.0	7.0	5.0	6.0	22.0	16.0	23.0	9.0	9.0	5.0
K01724	937.0	1173.0	388.0	512.0	1084.0	625.0	1221.0	589.0	686.0	1000.0	825.0	456.0	637.0	321.0	507.0	1185.0	513.0	769.0	848.0	538.0	379.0	364.0	565.0	852.0	758.0
K01725	311.0	409.0	20.0	77.0	338.0	98.0	444.0	21.0	178.0	329.0	157.0	47.0	134.0	30.0	63.0	98.0	51.0	186.0	130.0	37.0	2.0	17.0	85.0	170.0	215.0
K01734	1.0	6.0	2.0	11.0	8.0	3.0			13.0	6.0	16.0	3.0	14.0	4.0	2.0	13.0	11.0	9.0	11.0	4.0		3.0	9.0	7.0	17.0
K01737	818.0	1023.0	441.0	442.0	969.0	729.0	1101.0	745.0	494.0	844.0	853.0	506.0	572.0	356.0	616.0	1900.0	502.0	739.0	1037.0	755.0	637.0	465.0	582.0	867.0	661.0
K01749	215.0	236.0	69.0	126.0	243.0	162.0	244.0	141.0	172.0	182.0	175.0	93.0	162.0	100.0	128.0	254.0	127.0	178.0	175.0	143.0	101.0	108.0	139.0	178.0	173.0
K01752	64.0	45.0	76.0	207.0	68.0	78.0	1.0	306.0	246.0	97.0	223.0	63.0	215.0	47.0	112.0	101.0	280.0	192.0	177.0	86.0	9.0	35.0	123.0	164.0	218.0
K01753	12.0	4.0	64.0	92.0	9.0	35.0		261.0	84.0	7.0	6.0	42.0	27.0	5.0	123.0	1.0	221.0	98.0	20.0	36.0	7.0	16.0	61.0	156.0	2.0
K01759	79.0	100.0	39.0	64.0	86.0	61.0	108.0	21.0	54.0	74.0	82.0	42.0	75.0	42.0	47.0	112.0	35.0	75.0	101.0	57.0	48.0	53.0	70.0	52.0	85.0
K01772	507.0	535.0	463.0	491.0	464.0	595.0	526.0	310.0	425.0	521.0	672.0	494.0	549.0	546.0	461.0	1169.0	294.0	459.0	796.0	666.0	630.0	560.0	535.0	450.0	616.0
K01775	10.0	16.0	5.0	9.0	17.0	6.0	14.0	2.0	6.0	11.0	13.0	8.0	6.0	8.0	9.0	4.0	4.0	10.0	9.0	6.0	6.0	4.0	6.0	9.0	6.0
K01776	9.0	6.0	54.0	44.0	4.0	47.0	1.0	77.0	24.0	10.0	10.0	55.0	21.0	49.0	48.0	29.0	53.0	24.0	20.0	51.0	50.0	53.0	45.0	33.0	9.0
K01778	357.0	441.0	228.0	249.0	381.0	279.0	482.0	158.0	253.0	412.0	280.0	221.0	256.0	223.0	220.0	345.0	184.0	300.0	312.0	247.0	258.0	240.0	248.0	272.0	321.0
K01779	1.0	1.0	3.0	1.0	2.0	2.0			5.0	2.0	6.0		14.0			2.0	2.0	2.0	6.0	3.0			2.0		9.0
K01785	50.0	35.0	22.0	107.0	45.0	25.0	1.0	5.0	135.0	79.0	157.0	19.0	144.0	35.0	4.0	100.0	66.0	92.0	165.0	44.0	1.0	17.0	60.0	26.0	180.0
K01788	2.0	1.0	9.0	3.0		10.0		1.0		1.0		13.0	4.0	7.0	3.0			1.0	1.0	16.0	13.0	14.0	6.0	1.0	
K01792	14.0	15.0	1.0	2.0	17.0	3.0	16.0	1.0	5.0	15.0	1.0	5.0	5.0	1.0	5.0		1.0	6.0	5.0				3.0	5.0	9.0
K01799	1.0	1.0	15.0	19.0	2.0	7.0		47.0	17.0	1.0		9.0	6.0	1.0	25.0	1.0	40.0	24.0	2.0	6.0		3.0	15.0	29.0	
K01803	1786.0	2185.0	823.0	1070.0	2149.0	1235.0	2452.0	1212.0	1392.0	1845.0	1511.0	860.0	1173.0	758.0	1072.0	2102.0	1098.0	1487.0	1577.0	1093.0	776.0	788.0	1131.0	1635.0	1589.0
K01807	1102.0	1210.0	649.0	773.0	1167.0	793.0	1232.0	757.0	864.0	1112.0	1017.0	644.0	833.0	603.0	702.0	1447.0	672.0	881.0	1129.0	828.0	644.0	652.0	773.0	900.0	929.0
K01815	9.0	10.0	7.0	28.0	11.0	11.0		2.0	40.0	16.0	37.0	1.0	32.0	9.0	2.0	18.0	31.0	33.0	34.0	15.0		3.0	15.0	4.0	55.0
K01821	15.0	3.0	43.0	101.0	11.0	27.0	1.0	233.0	80.0	10.0	8.0	36.0	33.0	3.0	80.0	1.0	192.0	100.0	15.0	39.0	7.0	21.0	38.0	117.0	1.0
K01826	2.0		23.0	32.0	7.0	8.0		83.0	16.0	2.0	3.0	18.0	8.0	1.0	29.0	1.0	74.0	27.0	5.0	10.0	2.0	7.0	26.0	56.0	1.0
K01839	1.0		1.0	6.0	1.0	4.0		17.0	3.0			3.0	1.0		4.0		11.0	4.0		1.0		1.0	4.0	9.0	
K01866	7.0	15.0	6.0	1.0	13.0	8.0	14.0	5.0	5.0	11.0	10.0	5.0	9.0	1.0	6.0	13.0	5.0	9.0	12.0	5.0	3.0	3.0	4.0	6.0	12.0
K01867	3.0	3.0		1.0	5.0	1.0		1.0	3.0	4.0	4.0		5.0	2.0		5.0		3.0	6.0	2.0	1.0	2.0	2.0	4.0	3.0
K01868	13.0	13.0	4.0	6.0	14.0	6.0	10.0	4.0	12.0	12.0	5.0	3.0	5.0	1.0	3.0	3.0	3.0	11.0	8.0	3.0	1.0	1.0	4.0	9.0	10.0
K01875	570.0	663.0	231.0	326.0	685.0	322.0	781.0	296.0	387.0	597.0	440.0	236.0	378.0	176.0	331.0	620.0	294.0	445.0	443.0	295.0	244.0	197.0	340.0	486.0	423.0
K01889	184.0	224.0	63.0	123.0	195.0	133.0	208.0	141.0	148.0	188.0	173.0	92.0	154.0	82.0	138.0	257.0	123.0	154.0	213.0	114.0	110.0	92.0	119.0	163.0	188.0
K01915	1008.0	1196.0	413.0	524.0	1139.0	620.0	1375.0	666.0	616.0	981.0	647.0	488.0	522.0	391.0	590.0	785.0	555.0	695.0	668.0	544.0	494.0	417.0	650.0	887.0	632.0
K01918	37.0	50.0	12.0	21.0	46.0	14.0	53.0	12.0	36.0	46.0	18.0	11.0	25.0	11.0	15.0	13.0	22.0	38.0	27.0	16.0	8.0	5.0	13.0	25.0	24.0
K01920	3.0	2.0	1.0	2.0	3.0	2.0	7.0		1.0	5.0				2.0	2.0	4.0	3.0	2.0	1.0	2.0	3.0	2.0	2.0	4.0	2.0
K01921	7.0	6.0	1.0	2.0	5.0	3.0	13.0	2.0	4.0	9.0	1.0	1.0	1.0	2.0	5.0	1.0	3.0	6.0	2.0	1.0	1.0	2.0	3.0	2.0	2.0
K01933	9.0	26.0	3.0	9.0	21.0	10.0	20.0	15.0	17.0	25.0	10.0	4.0	4.0	9.0	12.0	8.0	8.0	15.0	9.0	5.0	2.0	2.0	8.0	10.0	11.0
K01934	1.0		1.0	6.0	3.0	2.0		2.0	4.0		7.0	2.0	9.0	1.0	1.0	2.0	8.0	6.0	2.0		1.0	1.0	5.0	1.0	5.0
K01937	350.0	467.0	168.0	257.0	415.0	280.0	538.0	255.0	310.0	404.0	344.0	207.0	300.0	157.0	233.0	496.0	205.0	311.0	413.0	250.0	197.0	148.0	282.0	322.0	345.0
K01939	1.0		10.0	11.0	4.0	4.0		5.0	4.0	4.0	5.0	6.0	5.0	9.0	9.0	6.0	8.0	6.0	7.0	8.0	11.0	9.0	3.0	5.0	3.0
K01940	225.0	246.0	38.0	48.0	248.0	91.0	314.0	45.0	99.0	201.0	103.0	44.0	62.0	36.0	77.0	69.0	58.0	109.0	80.0	36.0	22.0	34.0	69.0	155.0	96.0
K01951	138.0	162.0	63.0	68.0	153.0	90.0	194.0	72.0	94.0	147.0	97.0	67.0	91.0	49.0	65.0	141.0	80.0	115.0	114.0	72.0	66.0	66.0	62.0	129.0	117.0
K01953	67.0	90.0	5.0	21.0	78.0	30.0	111.0	3.0	62.0	72.0	49.0	4.0	45.0	7.0	14.0	30.0	19.0	52.0	49.0	13.0		3.0	34.0	41.0	57.0
K01972	154.0	216.0	53.0	100.0	199.0	72.0	234.0	88.0	108.0	160.0	121.0	66.0	97.0	53.0	75.0	88.0	87.0	139.0	108.0	59.0	53.0	54.0	81.0	137.0	119.0
K01975	2.0	2.0	1.0	8.0	1.0	1.0			4.0	2.0	5.0	1.0	4.0	2.0	1.0	3.0	3.0	3.0	8.0	3.0			2.0		4.0
K01991	36.0	28.0	94.0	99.0	19.0	81.0		159.0	101.0	44.0	99.0	83.0	93.0	71.0	101.0	101.0	138.0	100.0	86.0	102.0	66.0	71.0	94.0	80.0	78.0
K02004	62.0	82.0	11.0	30.0	81.0	18.0	88.0	39.0	48.0	54.0	43.0	21.0	31.0	3.0	15.0	65.0	36.0	35.0	36.0	17.0	5.0	8.0	21.0	53.0	34.0
K02007	7.0		16.0	8.0		19.0			1.0	3.0	2.0	15.0		12.0	17.0		2.0	1.0	2.0	11.0	29.0	17.0	15.0	2.0	1.0
K02019	310.0	358.0	1.0	7.0	316.0	80.0	474.0	9.0	72.0	283.0	42.0	31.0	3.0	7.0	49.0	21.0	5.0	112.0	24.0	8.0	1.0	4.0	65.0	180.0	57.0
K02040	49.0	72.0	34.0	31.0	57.0	25.0	59.0	91.0	39.0	39.0	18.0	33.0	17.0	18.0	43.0	31.0	75.0	44.0	23.0	35.0	17.0	19.0	39.0	69.0	14.0
K02042	24.0	26.0	26.0	10.0	32.0	26.0	36.0	1.0	11.0	24.0	4.0	38.0	6.0	26.0	19.0	2.0	2.0	6.0	3.0	28.0	32.0	36.0	23.0	17.0	2.0
K02066	805.0	917.0	443.0	576.0	857.0	556.0	927.0	582.0	687.0	808.0	791.0	467.0	605.0	420.0	511.0	1004.0	505.0	713.0	747.0	516.0	434.0	384.0	527.0	691.0	726.0
K02067	2.0	2.0			4.0		1.0																		2.0
K02078	555.0	635.0	229.0	378.0	646.0	380.0	706.0	388.0	475.0	587.0	560.0	281.0	432.0	227.0	295.0	781.0	360.0	508.0	589.0	370.0	267.0	254.0	361.0	504.0	494.0
K02094	4.0		16.0	5.0	1.0	12.0		1.0		6.0	2.0	17.0	5.0	13.0	13.0		1.0		1.0	13.0	8.0	19.0	6.0	1.0	1.0
K02106	1.0								1.0		1.0								1.0	1.0			1.0	1.0	2.0
K02109	81.0	82.0	27.0	43.0	96.0	39.0	91.0	31.0	36.0	73.0	29.0	17.0	51.0	22.0	37.0	26.0	40.0	56.0	32.0	19.0	20.0	12.0	41.0	40.0	39.0
K02110	74.0	83.0	110.0	82.0	72.0	107.0	72.0	88.0	81.0	74.0	180.0	113.0	113.0	110.0	91.0	309.0	41.0	94.0	207.0	142.0	142.0	131.0	105.0	86.0	134.0
K02113	142.0	147.0	88.0	139.0	139.0	132.0	132.0	108.0	149.0	165.0	185.0	71.0	168.0	96.0	81.0	231.0	118.0	149.0	198.0	130.0	98.0	71.0	134.0	114.0	196.0
K02114	87.0	91.0	31.0	58.0	76.0	53.0	91.0	36.0	64.0	73.0	79.0	31.0	53.0	29.0	37.0	96.0	47.0	63.0	61.0	58.0	34.0	33.0	57.0	78.0	60.0
K02116	9.0	7.0			7.0		17.0		3.0	5.0					2.0	1.0		2.0	1.0					4.0	3.0
K02160	136.0	175.0	50.0	66.0	166.0	69.0	212.0	68.0	81.0	156.0	120.0	72.0	75.0	40.0	71.0	133.0	59.0	90.0	86.0	67.0	49.0	57.0	63.0	120.0	102.0
K02171	51.0	38.0	29.0	118.0	38.0	33.0		23.0	122.0	75.0	167.0	25.0	144.0	35.0	21.0	94.0	75.0	102.0	149.0	56.0	6.0	17.0	40.0	31.0	169.0
K02192	12.0	6.0	7.0	11.0	16.0	6.0		19.0	20.0	12.0	17.0	6.0	29.0	5.0	4.0	16.0	21.0	27.0	21.0	4.0	1.0	2.0	13.0	11.0	24.0
K02194	52.0	34.0	82.0	183.0	52.0	52.0	1.0	310.0	219.0	48.0	126.0	48.0	156.0	16.0	130.0	51.0	322.0	174.0	110.0	70.0	11.0	39.0	102.0	174.0	113.0
K02195	9.0	6.0	10.0	38.0	16.0	12.0		60.0	41.0	17.0	48.0	10.0	33.0	5.0	10.0	19.0	56.0	40.0	31.0	18.0	2.0	3.0	17.0	23.0	36.0
K02196	68.0	49.0	70.0	195.0	49.0	50.0	1.0	238.0	236.0	81.0	223.0	45.0	211.0	33.0	80.0	121.0	305.0	205.0	192.0	80.0	8.0	32.0	101.0	132.0	222.0
K02197	217.0	133.0	196.0	567.0	183.0	164.0	1.0	645.0	660.0	228.0	590.0	167.0	652.0	137.0	294.0	357.0	727.0	540.0	511.0	241.0	21.0	100.0	318.0	378.0	594.0
K02199	18.0	17.0	23.0	35.0	14.0	12.0	7.0	80.0	50.0	30.0	32.0	9.0	29.0	9.0	43.0	12.0	75.0	51.0	20.0	16.0	4.0	7.0	29.0	60.0	34.0
K02200	146.0	84.0	159.0	378.0	157.0	138.0	4.0	494.0	540.0	141.0	409.0	82.0	426.0	99.0	237.0	212.0	593.0	402.0	380.0	172.0	10.0	55.0	233.0	272.0	395.0
K02221	858.0	997.0	573.0	643.0	971.0	671.0	978.0	588.0	753.0	849.0	866.0	556.0	724.0	544.0	587.0	1051.0	620.0	827.0	830.0	608.0	566.0	563.0	670.0	752.0	840.0
K02227	5.0	2.0	22.0	20.0	3.0	32.0		38.0	14.0	4.0	3.0	26.0	14.0	29.0	36.0	4.0	36.0	13.0	10.0	26.0	28.0	32.0	18.0	23.0	1.0
K02231	56.0	16.0	235.0	184.0	28.0	165.0	3.0	364.0	121.0	46.0	72.0	197.0	127.0	195.0	259.0	127.0	276.0	131.0	110.0	212.0	217.0	193.0	164.0	231.0	49.0
K02233	39.0	60.0	205.0	190.0	20.0	179.0	1.0	371.0	154.0	57.0	180.0	199.0	184.0	125.0	252.0	421.0	278.0	183.0	258.0	214.0	216.0	185.0	190.0	250.0	106.0
K02237	43.0	47.0	44.0	29.0	40.0	36.0	61.0	21.0	34.0	37.0	30.0	34.0	28.0	53.0	39.0	27.0	26.0	39.0	34.0	30.0	48.0	34.0	37.0	42.0	35.0
K02238	187.0	223.0	28.0	55.0	215.0	66.0	274.0	100.0	90.0	172.0	50.0	48.0	60.0	22.0	76.0	35.0	90.0	100.0	30.0	30.0	14.0	24.0	75.0	170.0	54.0
K02241	2.0	1.0					1.0			2.0			1.0	3.0	1.0	1.0		1.0		1.0		1.0			
K02242	5.0	6.0	1.0	1.0	8.0	3.0	12.0	7.0	2.0	6.0		3.0	2.0	2.0	3.0		13.0	5.0	2.0	4.0		1.0	1.0	6.0	
K02257	3.0	1.0	2.0	3.0	3.0	3.0		1.0	1.0	2.0	4.0	6.0	1.0	8.0	4.0	1.0	2.0	2.0	5.0	6.0	5.0	7.0	5.0	2.0	2.0
K02258	37.0	17.0	41.0	87.0	21.0	39.0	1.0	124.0	77.0	31.0	65.0	34.0	74.0	14.0	81.0	44.0	126.0	74.0	69.0	33.0	1.0	14.0	49.0	69.0	78.0
K02259	31.0	31.0	46.0	76.0	26.0	38.0		54.0	92.0	45.0	131.0	21.0	84.0	45.0	36.0	115.0	84.0	72.0	114.0	62.0	29.0	31.0	41.0	61.0	106.0
K02279	45.0	71.0		2.0	69.0	21.0	93.0	2.0	14.0	52.0	9.0	7.0		2.0	10.0	2.0	1.0	16.0	3.0	1.0			18.0	33.0	7.0
K02289	1.0		5.0	2.0		4.0						4.0	1.0	4.0	2.0					7.0	7.0	5.0	2.0	1.0	1.0
K02294	4.0	3.0	18.0	10.0	2.0	11.0		3.0	3.0	1.0	7.0	13.0	6.0	10.0	7.0	22.0	1.0	1.0	11.0	11.0	12.0	12.0	8.0	4.0	4.0
K02300	18.0	5.0	4.0	22.0	2.0	6.0		4.0	17.0	14.0	31.0	7.0	36.0	4.0		10.0	7.0	14.0	22.0	3.0		2.0	11.0	2.0	27.0
K02305	3.0	1.0	20.0	27.0	2.0	9.0		97.0	29.0	4.0		15.0	11.0	1.0	34.0		62.0	34.0	5.0	11.0	3.0	6.0	19.0	52.0	
K02313	98.0	95.0	27.0	53.0	91.0	56.0	108.0	50.0	62.0	95.0	73.0	35.0	63.0	28.0	39.0	64.0	56.0	69.0	81.0	42.0	34.0	31.0	45.0	67.0	68.0
K02314	146.0	182.0	71.0	92.0	179.0	98.0	191.0	112.0	125.0	146.0	169.0	83.0	138.0	66.0	92.0	225.0	104.0	160.0	143.0	86.0	55.0	55.0	121.0	175.0	152.0
K02316	852.0	1010.0	373.0	498.0	1006.0	564.0	1087.0	574.0	682.0	910.0	720.0	394.0	566.0	302.0	431.0	832.0	553.0	690.0	685.0	450.0	335.0	285.0	510.0	704.0	641.0
K02338	437.0	498.0	168.0	216.0	497.0	235.0	502.0	286.0	324.0	382.0	403.0	160.0	339.0	107.0	230.0	551.0	287.0	327.0	441.0	211.0	133.0	152.0	225.0	330.0	329.0
K02339	110.0	135.0	61.0	121.0	128.0	56.0	123.0	204.0	155.0	122.0	120.0	39.0	104.0	25.0	87.0	73.0	180.0	154.0	103.0	53.0	3.0	23.0	88.0	154.0	113.0
K02342	13.0	2.0	6.0	21.0	6.0	4.0		1.0	17.0	7.0	22.0	1.0	27.0	7.0	1.0	19.0	9.0	13.0	27.0	4.0		3.0	6.0	4.0	32.0
K02348	10.0	6.0	3.0	5.0	7.0	2.0		8.0	14.0	8.0	10.0	2.0	9.0	1.0	3.0	5.0	13.0	11.0	10.0	8.0	2.0	1.0	7.0	5.0	12.0
K02356	131.0	158.0	73.0	87.0	152.0	98.0	162.0	70.0	115.0	126.0	129.0	86.0	102.0	65.0	60.0	167.0	68.0	124.0	130.0	96.0	79.0	69.0	79.0	116.0	119.0
K02357	207.0	282.0	107.0	127.0	267.0	142.0	263.0	117.0	145.0	235.0	234.0	111.0	184.0	103.0	115.0	394.0	98.0	164.0	259.0	151.0	121.0	120.0	129.0	196.0	219.0
K02372	390.0	442.0	221.0	262.0	397.0	295.0	467.0	257.0	312.0	407.0	407.0	230.0	299.0	190.0	254.0	615.0	205.0	352.0	443.0	292.0	256.0	202.0	267.0	310.0	385.0
K02379	1.0		7.0	3.0		10.0		12.0	3.0	5.0	1.0	15.0	1.0	15.0	4.0		3.0	2.0		5.0	10.0	12.0	4.0	6.0	1.0
K02386	100.0	162.0	29.0	68.0	127.0	57.0	168.0	109.0	110.0	121.0	65.0	40.0	55.0	12.0	68.0	36.0	102.0	108.0	71.0	31.0	6.0	12.0	60.0	134.0	73.0
K02387	53.0	62.0	10.0	43.0	58.0	24.0	61.0	39.0	58.0	58.0	43.0	16.0	31.0	8.0	27.0	28.0	52.0	56.0	33.0	7.0	2.0	8.0	23.0	42.0	53.0
K02388	369.0	457.0	78.0	190.0	510.0	169.0	521.0	259.0	249.0	387.0	189.0	91.0	180.0	33.0	169.0	123.0	234.0	288.0	142.0	80.0	7.0	31.0	173.0	361.0	240.0
K02389	330.0	400.0	105.0	228.0	415.0	137.0	404.0	298.0	358.0	347.0	332.0	103.0	276.0	57.0	177.0	168.0	349.0	334.0	249.0	115.0	17.0	43.0	195.0	322.0	359.0
K02393	665.0	750.0	156.0	458.0	776.0	266.0	797.0	416.0	691.0	733.0	625.0	167.0	565.0	93.0	294.0	315.0	531.0	636.0	522.0	223.0	8.0	72.0	392.0	505.0	696.0
K02394	25.0	29.0	2.0	5.0	39.0	9.0	54.0		11.0	22.0	9.0	5.0	7.0		4.0	10.0	5.0	14.0	10.0	5.0			7.0	17.0	14.0
K02395	227.0	269.0	77.0	192.0	283.0	97.0	265.0	254.0	291.0	246.0	260.0	87.0	245.0	46.0	155.0	123.0	257.0	309.0	215.0	98.0	7.0	26.0	138.0	233.0	250.0
K02396	5.0	1.0	1.0	2.0	4.0	4.0	3.0	3.0	3.0	5.0	6.0	2.0	3.0		1.0	4.0	4.0	6.0	2.0	1.0		1.0	5.0	2.0	5.0
K02398	487.0	520.0	72.0	237.0	588.0	197.0	648.0	248.0	334.0	476.0	282.0	102.0	251.0	45.0	184.0	167.0	300.0	341.0	231.0	94.0	6.0	26.0	205.0	372.0	310.0
K02399	4.0	8.0	6.0	5.0	1.0	3.0	5.0	17.0	2.0	9.0	1.0	2.0	2.0		4.0		8.0	7.0	2.0	7.0	1.0		5.0	7.0	
K02406	1.0	3.0	3.0	10.0	1.0	1.0		9.0	15.0	5.0	10.0	3.0	13.0	2.0	7.0	3.0	23.0	9.0	5.0	3.0	1.0	1.0	8.0	8.0	11.0
K02407	1.0	3.0			1.0	1.0	5.0			1.0	1.0	2.0						2.0					2.0	1.0	
K02408	450.0	599.0	88.0	199.0	563.0	170.0	654.0	267.0	370.0	525.0	284.0	93.0	284.0	54.0	179.0	154.0	318.0	375.0	249.0	116.0	8.0	40.0	218.0	362.0	316.0
K02410	76.0	89.0	19.0	77.0	84.0	29.0	81.0	69.0	103.0	72.0	82.0	21.0	75.0	12.0	43.0	38.0	88.0	86.0	73.0	32.0	3.0	20.0	42.0	70.0	81.0
K02411	1.0	3.0		1.0		1.0	1.0		2.0				3.0			1.0				2.0			1.0	2.0	
K02413	74.0	92.0	16.0	43.0	100.0	23.0	95.0	47.0	62.0	77.0	48.0	23.0	43.0	8.0	38.0	27.0	60.0	67.0	48.0	20.0	2.0	10.0	39.0	58.0	43.0
K02414	128.0	174.0	26.0	62.0	178.0	63.0	209.0	102.0	108.0	147.0	88.0	27.0	67.0	19.0	88.0	37.0	118.0	106.0	62.0	27.0	3.0	12.0	73.0	145.0	109.0
K02415	139.0	135.0	70.0	167.0	154.0	65.0	120.0	187.0	222.0	145.0	192.0	50.0	172.0	29.0	101.0	95.0	228.0	201.0	160.0	82.0	10.0	25.0	112.0	181.0	195.0
K02417	429.0	480.0	60.0	216.0	522.0	167.0	579.0	265.0	373.0	432.0	239.0	107.0	237.0	42.0	145.0	158.0	291.0	349.0	228.0	89.0	12.0	41.0	191.0	289.0	322.0
K02418	729.0	910.0	98.0	328.0	853.0	254.0	1070.0	371.0	481.0	731.0	358.0	162.0	346.0	54.0	280.0	217.0	378.0	525.0	323.0	160.0	17.0	45.0	310.0	619.0	485.0
K02420	27.0	51.0	1.0	2.0	41.0	9.0	78.0	2.0	10.0	33.0	4.0	10.0			6.0	2.0	3.0	13.0	3.0	2.0		3.0	12.0	21.0	12.0
K02422	939.0	1076.0	161.0	417.0	1143.0	321.0	1368.0	484.0	683.0	954.0	562.0	229.0	474.0	92.0	377.0	305.0	533.0	631.0	451.0	185.0	18.0	75.0	411.0	717.0	681.0
K02423	14.0	21.0	8.0	16.0	22.0	14.0	36.0	42.0	17.0	19.0	7.0	4.0	7.0		16.0		23.0	23.0	5.0	7.0	4.0	2.0	11.0	33.0	3.0
K02426	59.0	53.0	7.0	8.0	55.0	17.0	61.0	1.0	10.0	42.0	17.0	15.0	6.0	8.0	10.0	14.0	6.0	19.0	13.0	10.0	12.0	11.0	15.0	25.0	15.0
K02435	606.0	784.0	273.0	169.0	700.0	484.0	928.0	120.0	186.0	666.0	388.0	316.0	238.0	303.0	302.0	869.0	30.0	347.0	502.0	410.0	421.0	349.0	320.0	436.0	310.0
K02437	957.0	1084.0	531.0	774.0	1102.0	707.0	1246.0	1247.0	967.0	1019.0	867.0	579.0	804.0	456.0	796.0	1127.0	1025.0	1063.0	934.0	605.0	425.0	437.0	722.0	1090.0	789.0
K02439	10.0	5.0	5.0	18.0	2.0	4.0		19.0	15.0	5.0	16.0	4.0	16.0	3.0	9.0	10.0	20.0	18.0	19.0	2.0		2.0	9.0	19.0	27.0
K02451	26.0	12.0	18.0	42.0	27.0	14.0		38.0	48.0	27.0	96.0	13.0	73.0	15.0	20.0	41.0	59.0	53.0	65.0	21.0	2.0	6.0	28.0	26.0	70.0
K02452	36.0	26.0	24.0	77.0	29.0	18.0	12.0	37.0	88.0	36.0	61.0	12.0	72.0	18.0	26.0	43.0	54.0	67.0	75.0	29.0	2.0	9.0	30.0	34.0	78.0
K02456	67.0	77.0	7.0	23.0	73.0	22.0	104.0	20.0	28.0	60.0	17.0	12.0	21.0	8.0	22.0	21.0	30.0	33.0	13.0	5.0		2.0	28.0	56.0	47.0
K02457	1.0		1.0	3.0	1.0			6.0	2.0			1.0	1.0		4.0		5.0	1.0		1.0		1.0	2.0	2.0	1.0
K02458	57.0	64.0	14.0	37.0	62.0	28.0	87.0	39.0	54.0	62.0	36.0	18.0	41.0	8.0	26.0	19.0	46.0	51.0	28.0	12.0	2.0	7.0	32.0	54.0	47.0
K02459	35.0	49.0	11.0	31.0	52.0	18.0	64.0	51.0	38.0	46.0	32.0	17.0	29.0	3.0	27.0	14.0	62.0	40.0	22.0	8.0	1.0	9.0	21.0	49.0	27.0
K02460	180.0	203.0	37.0	88.0	185.0	63.0	230.0	106.0	153.0	194.0	112.0	40.0	118.0	22.0	75.0	63.0	135.0	152.0	90.0	47.0	2.0	13.0	81.0	160.0	129.0
K02461	2.0		1.0	4.0	2.0			1.0	3.0	2.0	4.0		5.0	1.0		5.0	3.0	3.0	1.0	4.0			1.0		5.0
K02462	9.0	2.0	2.0	8.0	4.0	9.0		15.0	15.0	8.0	16.0	6.0	9.0	1.0	11.0	9.0	26.0	12.0	7.0	1.0	1.0	5.0	8.0	12.0	10.0
K02463	40.0	43.0	4.0	13.0	43.0	14.0	46.0	3.0	29.0	35.0	19.0	6.0	24.0	4.0	7.0	17.0	14.0	24.0	17.0	8.0	1.0	3.0	12.0	23.0	19.0
K02492	286.0	283.0	173.0	210.0	286.0	208.0	318.0	212.0	235.0	282.0	260.0	167.0	244.0	148.0	161.0	275.0	218.0	229.0	274.0	177.0	139.0	159.0	202.0	238.0	255.0
